"","address","parid","date","saleval","price","dt","num_affected","total_increase"
"7","1695 Alta Vista Ave","070077  00001","8/23/13","",62000,2013-08-23,657,1175852.99422309
"8","1723 Georgian Dr","071012  00007","9/30/13","",71000,2013-09-30,441,808396.945666063
"10","1847 Driftwood Ave","072022  00005","9/30/13","",53000,2013-09-30,570,-554700.305041272
"12","2218 Willow Wood","072056  00054","6/10/13","",40000,2013-06-10,349,-597742.225673209
"15","2510 Lockmeade Dr","072071  00074","2/27/14","",58000,2014-02-27,461,54913.7354134095
"17","2772 Birchfield Dr","072107  00073","4/29/13","",67000,2013-04-29,134,202940.68396258
"18","2800 Whitney Ave","072107 B00001","9/20/13","",70000,2013-09-20,365,574608.321944965
"20","2848 Birchfield","072114  00013","10/18/13","",68000,2013-10-18,157,199826.632252241
"22","2914 Vista View St","070024  00044","5/12/14","",55000,2014-05-12,144,132510.94207726
"23","3026 Spring Hill Dr","072107  00106","6/28/11","A",62000,2011-06-28,133,292476.29337615
"27","3186 Scenic Hywy","083008  00020","5/24/11","A",74000,2011-05-24,0,0
"28","3240 Debby Street","072071  00032","4/6/10","A",58000,2010-04-06,481,135993.28475468
"35","3794 Healey Rd","058060  00019","5/11/11","A",53000,2011-05-11,0,0
